File,Câu,Câu hỏi,A,B,C,D,Đáp án,Trạng thái
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,10,"So với các hình thức biểu diễn tri thức khác, vì sao luật thường được lựa chọn?",Cho phép xây dựng thư viện tình huống dựa trên CBR để tái sử dụng kinh nghiệm phân tích lỗi. ,Chuẩn hóa tất cả dữ liệu chất lượng thành báo cáo quản trị cho cấp lãnh đạo.,Tạo cơ chế kết nối trực tiếp giữa khách hàng và nhóm kỹ sư bảo đảm chất lượng.,Tự động loại bỏ các lỗi nhỏ nhằm tập trung vào các sự cố nghiêm trọng nhất.,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,14,"Trong quy trình của hệ thống CBR, bước nào đảm bảo cải thiện chất lượng giải pháp về lâu dài?",Vì các sự cố nhỏ thường được xử lý ngay mà không ảnh hưởng đến hoạt động tổng thể.,Vì một lần dừng máy có thể gây thiệt hại từ 60.000 USD đến 250.000 USD. ,Vì nhân viên tại chỗ luôn có đủ chuyên môn để phân tích dữ liệu nên cần tự động hóa.,Vì chi phí lắp đặt cảm biến mới thường vượt quá mức dự toán ngân sách hằng năm.,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,18,Mục tiêu chính khi Westinghouse phát triển hệ thống GenAID là gì?,Tìm kiếm các trường hợp tương tự trong trí nhớ và điều chỉnh giải pháp cũ cho vấn đề mới. ,Tái tạo toàn bộ tiến trình tư duy sáng tạo trong bộ não con người.,Loại bỏ sự tham gia của chuyên gia để đảm bảo tính khách quan tuyệt đối.,Sử dụng mô hình quy tắc chuẩn hóa để mô phỏng quyết định tổ chức.,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,22,"Trong bối cảnh ngành bán dẫn, thách thức lớn nhất khi National Semiconductor duy trì chất lượng sản phẩm là gì?",Chỉ lưu trữ dữ liệu định tính mà không cần chú ý đến dữ liệu định lượng.,Hạn chế việc thêm mới các trường hợp để tránh trùng lặp dữ liệu.,Xây dựng và duy trì một thư viện đủ lớn để hỗ trợ lĩnh vực cần áp dụng. ,Loại bỏ các trường hợp cũ nhằm đảm bảo tính gọn nhẹ của hệ thống.,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,26,"Trong thực tiễn, yếu tố nào đảm bảo sự thành công của quá trình phát triển hệ thống ứng dụng tri thức?",So sánh tất cả dữ liệu trong thư viện mà không có tiêu chí lọc.,Truy xuất trường hợp tương tự nhất từ thư viện và lượng hóa độ tương đồng. ,Tạo ra tri thức hoàn toàn mới mà không dựa trên các tình huống trước đó.,Xây dựng mô hình thống kê mới thay cho dữ liệu kinh nghiệm cũ.,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,30,Mục tiêu cơ bản của SOS Advisor trong bối cảnh chương trình SBIR/STTR là gì?,Khi tổ chức muốn loại bỏ hoàn toàn tri thức ẩn để chuẩn hóa dữ liệu.,Khi cần mô phỏng quyết định của chuyên gia trong môi trường phức tạp. ,Khi các thủ tục lặp lại được coi là nền tảng duy nhất cho vận hành.,Khi việc truyền đạt chỉ đạo là cách duy nhất để áp dụng tri thức.,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,34,Điểm nổi bật trong dự án CLAIM của GE Healthcare nhằm cải thiện quy trình xác định tài liệu đính kèm cho hồ sơ bồi hoàn là gì?,Bằng cách chuyển đổi mọi tình huống thành quy tắc IF-THEN chuẩn hóa.,Bằng cách bổ sung các trường hợp mới cùng kết quả đánh giá vào thư viện. ,Bằng cách loại bỏ dần các trường hợp cũ để giữ lại dữ liệu tinh gọn.,Bằng cách thay thế toàn bộ dữ liệu kinh nghiệm bằng mô hình dự đoán thống kê.,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,38,Xây dựng quy trình kinh doanh chuẩn hóa để thay thế chuyên gia trong tổ chức.,Vì nó loại bỏ tính ngẫu nhiên trong quá trình ứng dụng tri thức.,Vì nó dựa trên mối quan hệ nhân quả giữa dữ liệu và giải pháp chuẩn hóa.,Vì nó thay thế mọi kinh nghiệm tổ chức bằng các thuật toán thống kê.,Vì nó tận dụng sự tương đồng giữa tình huống cũ và tình huống mới để đề xuất giải pháp. ,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,42,Điểm khác biệt then chốt giữa tìm kiếm trong thư viện trường hợp và tìm kiếm cơ sở dữ liệu thông thường là gì?,SOS Advisor kiểm tra điều kiện để xác định một công ty có đủ tiêu chuẩn cho chương trình SBIR/STTR. ,Một tổ chức tài chính xây dựng mô hình dự báo thị trường chứng khoán bằng dữ liệu lớn.,Một công ty phần mềm phát triển công cụ khai phá dữ liệu để tìm ra các luật kết hợp.,Một bệnh viện dùng thuật toán học sâu để nhận diện hình ảnh y tế phức tạp.,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,46,Khả năng dễ dàng thích ứng giải pháp trong bối cảnh phức tạp và thay đổi.,Các câu lệnh điều kiện dạng IF-THEN. ,Các công thức toán học dùng để tính xác suất và dự báo kết quả trong mọi tình huống.,Các sơ đồ khối mô tả chi tiết từng bước trong quá trình xử lý dữ liệu phức tạp.,Các biểu đồ chuỗi thời gian thể hiện xu hướng thay đổi của thông tin trong cơ sở dữ liệu.,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,50,"Sau ba tháng triển khai hệ thống tại Darty, kết quả nổi bật nhất đạt được là gì?",Vì CBR có thể thay thế hoàn toàn vai trò của con người trong suy luận.,Vì CBR đảm bảo mọi tình huống đều được xử lý bằng một quy tắc duy nhất.,Vì CBR loại bỏ nhu cầu quản lý và bảo trì thư viện trường hợp.,"Vì CBR trực quan, tận dụng tri thức hiện có như báo cáo sự cố và dễ triển khai. ",,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,54,Quy trình quản lý trong phát triển hệ thống ứng dụng tri thức có vai trò nào?,Các quyết định được mô phỏng dựa trên mô hình thống kê phức tạp.,Các quy trình được chuẩn hóa và lặp lại để đảm bảo sự nhất quán trong tổ chức. ,Các mối quan hệ xã hội giữ vai trò chính trong việc chia sẻ tri thức ẩn.,Các dữ liệu thô được khai phá nhằm tìm ra mẫu và xu hướng mới.,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,58,"Trong bốn loại hệ thống ứng dụng tri thức, điểm chung quan trọng nhất là gì?",Để thay thế hoàn toàn các hệ thống chia sẻ và lưu giữ tri thức truyền thống.,Để tạo ra tri thức mới thông qua quá trình khám phá tri thức phức tạp.,Để hỗ trợ việc sử dụng tri thức của tổ chức một cách hiệu quả. ,Để loại bỏ sự tham gia của con người trong các quy trình quản trị tri thức.,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,60,Điểm nào cho thấy phương pháp Case-Method Cycle mang tính lặp (iterative)?,Công cụ BI phân tích dữ liệu thị trường để hỗ trợ nhà quản lý. ,Bộ quy trình kiểm toán nội bộ nhằm chuẩn hóa hoạt động tài chính.,Bộ luật IF–THEN mô phỏng quyết định của chuyên gia kỹ thuật.,Chỉ đạo miệng của lãnh đạo để định hướng hành vi nhân viên. ◄ Copyright © 2020 - Developed by CAIT@neu. Powered by Moodle Data retention summary Get the mobile app GET SOCIAL    ,,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,2,"Trong kỹ thuật quan sát nhân học của Snowden, việc sử dụng “người phỏng vấn ngây thơ” mang lại lợi ích gì?",Từ các tài liệu chính thức đã được ban hành nội bộ.,Từ các báo cáo định kỳ của bộ phận tài chính.,Từ nhân viên hiện tại của tổ chức thông qua phỏng vấn trực tiếp.,"Từ nhân viên, đối thủ cạnh tranh, khách hàng, nhà cung cấp. ",,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,6,Yếu tố công nghệ đóng vai trò gì trong hệ thống nắm bắt tri thức?,Vì nó thay thế toàn bộ tài liệu lưu trữ chính thức.,Vì nó đảm bảo loại bỏ sự đa dạng văn hóa trong nội bộ.,Vì nó chỉ tập trung vào việc ghi lại số liệu tài chính.,"Vì nó kết nối lịch sử, giá trị và kinh nghiệm chung thành ký ức tập thể. ",D,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,10,Ý nghĩa của việc lưu trữ câu chuyện trong cơ sở dữ liệu là gì?,Vì kể chuyện dễ gợi cảm xúc và tạo sự đồng cảm hơn dữ liệu khô khan. ,Vì báo cáo chính thức chỉ được viết để giải trí cho nhân viên.,Vì báo cáo chính thức thường không chứa đựng thông tin có giá trị.,Vì kể chuyện thay thế hoàn toàn các công cụ thống kê.,,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,14,"Khi được sử dụng trong đào tạo, kể chuyện có ưu điểm nào so với bài giảng lý thuyết?",Vì nó hỗ trợ phát triển thế hệ lãnh đạo kế cận. ,Vì nó thay thế hoàn toàn báo cáo tài chính và kế hoạch sản xuất.,Vì nó giúp mô tả chi tiết các bước vận hành kỹ thuật chuẩn.,Vì nó tạo ra kịch bản giải trí giúp nhân viên giảm căng thẳng.,,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,18,Tại sao bản đồ khái niệm (concept maps) lại hữu ích trong đào tạo nhân lực mới?,Kết quả chẩn đoán được ghi lại nhưng quá trình suy luận dẫn đến chẩn đoán thường không được lưu giữ. ,Các quyết định lâm sàng thường được chuẩn hóa sẵn trong cơ sở dữ liệu.,Các bác sĩ luôn viết rõ ràng mọi giả định và ràng buộc trong báo cáo.,Tri thức y khoa chỉ tồn tại dưới dạng dữ liệu số hóa và không cần tài liệu bổ sung.,,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,22,Một câu chuyện trong tổ chức có thể khuyến khích đổi mới sáng tạo bằng cách nào?,Vì nó thay thế hoàn toàn các hệ thống quản lý tri thức chính thức.,Vì nó cung cấp dữ liệu số hóa nhanh chóng.,"Vì nó phản ánh chuẩn mực, giá trị và văn hóa tổ chức. ",Vì nó loại bỏ các yếu tố phi chính thức.,,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,26,"Trong bối cảnh thiết kế hệ thống nắm bắt tri thức, tại sao cần song song vừa có kỹ thuật vừa có công nghệ thông minh?",Vì nó chủ yếu tập trung vào tri thức hiện có sẵn trong báo cáo.,Vì nó mô phỏng quá trình đánh giá tình huống và lựa chọn hành động. ,Vì nó thay thế hoàn toàn nhu cầu đào tạo bằng mô phỏng.,Vì nó chỉ lưu trữ thông tin dạng văn bản mà không xử lý ngữ cảnh.,C,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,30,Cơ chế nội hóa (internalization) trong hệ thống nắm bắt tri thức có đặc điểm gì?,Bằng cách loại bỏ các tương tác phi chính thức giữa nhân viên.,Bằng cách chuẩn hóa tri thức thành quy trình thủ tục duy nhất.,Bằng cách sử dụng thuật toán thống kê để xác nhận mọi phát biểu.,Bằng cách tạo cảm giác kết nối cá nhân và chia sẻ trải nghiệm chân thực. ,,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,34,Mục tiêu của kỹ thuật “alternative histories” trong thu thập tri thức tổ chức là gì?,Việc tái tạo toàn bộ báo cáo chiến lược dài hạn.,"Cách kể ngắn gọn, tập trung và dễ liên hệ để người nghe tưởng tượng khả năng mới. ",Việc mô tả chi tiết tất cả lỗi vận hành để tránh sai sót.,Việc đưa vào nhiều số liệu phức tạp để chứng minh độ chính xác tuyệt đối.,D,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,38,Một lý do khiến kể chuyện trở thành công cụ quản trị thay đổi hiệu quả là gì?,Tập trung vào việc chuẩn hóa số liệu tài chính thành báo cáo.,Tập trung vào việc tự động hóa các quyết định chiến lược cấp cao.,Tập trung vào việc thu giữ và định hình tri thức để lưu trữ lâu dài. ,Tập trung vào việc truyền đạt nhanh chóng giữa các nhóm chức năng.,,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,42,"Trong tổ chức, vì sao phép ẩn dụ thường được dùng trong các câu chuyện để truyền đạt tri thức?",Việc mã hóa luật thành văn bản pháp lý.,Các quy trình kiểm toán tài chính định kỳ.,Việc chuẩn hóa các bảng số liệu và thống kê.,Nghệ thuật kể chuyện truyền miệng trong cộng đồng. ,,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,46,Kỹ thuật gợi tri thức (knowledge elicitation) trong AI chủ yếu được thực hiện bằng cách nào?,Kể chuyện đảm bảo sự tuân thủ tuyệt đối của nhân viên.,Kể chuyện loại bỏ nhu cầu về bất kỳ số liệu minh chứng nào.,Kể chuyện luôn thay thế toàn bộ chiến lược dài hạn.,Kể chuyện khơi gợi hình ảnh cụ thể khiến nhân viên hình dung dễ dàng về trạng thái tương lai. ,,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,50,"Theo Phoel (2006), yếu tố nào được xem là trung tâm để một câu chuyện tổ chức thành công?",Xu hướng giảm thiểu chi tiết ngữ cảnh để tăng tính khách quan.,Xu hướng con người phóng đại hoặc cải tiến câu chuyện đã được kể. ,Xu hướng chuyển mọi tri thức thành dữ liệu số hóa chuẩn.,Xu hướng tập trung vào việc chuẩn hóa quy trình kỹ thuật nội bộ.,,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,54,Đâu là một trong những đặc điểm làm cho kể chuyện trở thành công cụ hiệu quả trong việc nắm bắt tri thức ẩn?,Quá trình chuyển đổi tri thức ẩn thành tri thức hiện để có thể chia sẻ. ,Quá trình chuẩn hóa dữ liệu thành mô hình thống kê để dự báo.,Quá trình biến đổi báo cáo tài chính thành tài liệu quản trị tri thức.,Quá trình chuyển đổi tri thức hiện thành tri thức ẩn thông qua thực hành.,D,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,58,"Theo Snowden (1999), điều gì KHÔNG nên có trong một chương trình kể chuyện?",Vì nó cung cấp cơ sở để hình thành đại diện hữu ích hơn về thiết kế trong điều kiện bất định. ,Vì nó thay thế hoàn toàn bản vẽ kỹ thuật và mô hình CAD.,Vì nó đảm bảo rằng tất cả giả định được loại bỏ khỏi quy trình thiết kế.,Vì nó chỉ ra mọi phương án bị loại bỏ để phục vụ cho mục đích pháp lý.,,Đúng
Chapter 7 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,60,"Trong việc sử dụng phép ẩn dụ (metaphor) khi kể chuyện, lợi ích lớn nhất là gì?",Ngăn chặn các yếu tố cảm xúc và ẩn dụ trong tường thuật.,Cho phép kể câu chuyện thông qua nhân vật hư cấu để tránh cá nhân hóa. ,Thay thế hoàn toàn nhu cầu tương tác trực tiếp giữa nhân viên.,Chuẩn hóa toàn bộ tri thức thành dữ liệu số trong cơ sở dữ liệu. ◄ Câu hỏi - Nhóm 9 Chuyển tới... Slides - Nhóm 10 ► Hệ thống LMS/LCMS cho Blended learning tại Đại học Kinh tế Quốc dân INFO CỔNG THÔNG TIN ĐÀO TẠO daihocchinhquy.neu.edu.vn myaep.neu.edu.vn vlvh.neu.edu.vn thacsi.neu.edu.vn CONTACT US 207 Giải phóng  Phone : +84 36280280  E-mail : ask-cait@neu.edu.vn Copyright © 2020 - Developed by CAIT@neu. Powered by Moodle Data retention summary Get the mobile app GET SOCIAL    ,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,2,Tại sao bản đồ khái niệm được xem là công cụ mô hình hóa tri thức phù hợp?,"Vì người vận hành luôn hành động theo lộ trình cố định, không phụ thuộc bối cảnh.",Vì các lĩnh vực này không cần đến sự hỗ trợ của hệ thống tri thức.,"Vì các tình huống trong những lĩnh vực này mang tính chiến thuật, yêu cầu phản ứng nhanh và quyết định theo ngữ cảnh. ",Vì tri thức trong các lĩnh vực này chủ yếu mang tính định lượng và ổn định.,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,6,Tại sao bản đồ khái niệm được xem là công cụ lý tưởng để chia sẻ tri thức chuyên gia?,Có khả năng thay thế hoàn toàn vai trò của kỹ sư tri thức.,Có khả năng ghi lại toàn bộ quá trình tương tác giữa người học và hệ thống.,Có khả năng tạo ra cơ sở ngữ cảnh hoàn chỉnh từ các truy vấn tự động. ,Có khả năng biến đổi tri thức thành dữ liệu hình ảnh ba chiều.,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,10,Điểm đặc trưng của các liên kết (links) trong bản đồ khái niệm là gì?,Liên kết giữa các lĩnh vực tri thức khác nhau giúp nhận diện mối quan hệ liên ngành. ,Tập hợp các khái niệm bị loại trừ khỏi mô hình chính.,Kết nối giữa các khái niệm cùng cấp độ chi tiết.,Đường nối phụ nhằm tăng mật độ đồ thị tri thức.,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,14,Khoảng 10% với sự can thiệp thủ công tối đa.,Không thể thu nhận tri thức chuyên gia nếu không có sự can thiệp trực tiếp.,Có thể thu nhận tri thức từ chuyên gia thông qua tương tác gián tiếp và không xâm nhập. ,Việc mô phỏng hành vi chuyên gia luôn đòi hỏi kiểm chứng thực nghiệm phức tạp.,Các hệ thống học tập bằng quan sát chưa chứng minh được tính khả thi.,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,18,Một ưu điểm quan trọng của bản đồ khái niệm khi dùng trong các hệ thống tri thức là gì?,Khả năng tạo tự động mô hình khái niệm mà không cần người dùng.,Khả năng mã hóa dữ liệu định lượng thay cho tri thức khái niệm.,"Khả năng hiển thị phong phú đa phương tiện và hỗ trợ học tập, cộng tác trực tuyến. ",Khả năng hạn chế phạm vi tri thức chỉ trong một lĩnh vực cụ thể.,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,22,"Trong ứng dụng về hỗ trợ chẩn đoán, diễn giải lâm sàng các ca bệnh tim mạch, các nút khái niệm trong bản đồ khái niệm biểu thị",Phân tích dữ liệu thống kê và biểu đồ định lượng.,Thực hiện các phép tính logic trên cơ sở dữ liệu ngữ nghĩa.,Ghi nhớ toàn bộ văn bản của chuyên gia mà không cần thao tác.,Duyệt qua các bản đồ khái niệm và khám phá mối liên kết giữa các khái niệm. ,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,26,Tác dụng quan trọng nhất của bản đồ khái niệm trong đào tạo là gì?,Giúp giới hạn số lượng khái niệm nhằm duy trì độ chính xác cao.,Giúp loại bỏ các mối quan hệ chéo giữa các chủ đề khác nhau.,Giúp chuyển đổi tự động tri thức sang định dạng văn bản chuẩn.,Giúp tích hợp dễ dàng các khái niệm của nhiều lĩnh vực vào cùng hệ thống. ,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,30,Một trong những hướng nghiên cứu nổi bật về học tập bằng quan sát là gì?,Tự động hóa toàn bộ quy trình phỏng vấn.,Bắt buộc chuyên gia tham gia vào quy trình nắm bắt tri thức.,Cung cấp đào tạo phù hợp và giao diện thân thiện với người dùng. ,Giảm thiểu số lượng câu hỏi để tiết kiệm thời gian.,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,34,Một chương trình xử lý hình ảnh hỗ trợ hiển thị khái niệm dưới dạng 3D.,Hệ thống không thể lưu trữ tri thức hiện hữu.,Tốc độ xử lý của hệ thống thấp hơn mong đợi.,Kỹ sư tri thức can thiệp quá sâu vào quy trình làm việc.,Cảm giác e ngại khi phải học cách sử dụng công nghệ mới. ,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,38,Phần mềm CITKA được thiết kế với mục tiêu tự động hóa điều gì?,Quản lý các biểu đồ ngữ cảnh phục vụ huấn luyện nhân viên mới.,Lưu trữ và điều phối các quy tắc đối thoại với chuyên gia. ,Thực hiện mã hóa tri thức ẩn thành dữ liệu định lượng.,Ghi nhận dữ liệu phản hồi từ người dùng cuối trong môi trường học tập.,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,42,Vì sao việc phát triển công cụ đa mô hình (multiparadigm tool) trong nắm bắt tri thức gần như bất khả thi?,Suy luận theo ngữ cảnh (context-based).,Suy luận dựa trên trường hợp (case-based reasoning). ,Bản đồ khái niệm (concept mapping).,Quy tắc ràng buộc (constraint-based).,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,46,"Nếu chuyên gia mô tả tri thức bằng cấu trúc “nếu A thì B”, hình thức biểu diễn phù hợp nhất là gì?",Một quy tắc suy luận dùng trong hệ chuyên gia.,Một đơn vị ngữ nghĩa tạo bởi hai khái niệm được nối bằng từ liên kết. ,Một biểu đồ thống kê mô tả tần suất xuất hiện của khái niệm.,Một nhóm dữ liệu định lượng thể hiện mối tương quan.,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,50,Khái niệm cognitive imitation trong nghiên cứu về tri thức có ý nghĩa nào sau đây?,Có thể giảm tới 80% thời gian nhân công so với phương pháp phỏng vấn truyền thống. ,Có thể thay thế toàn bộ quy trình kiểm định dữ liệu định lượng.,Có thể loại bỏ hoàn toàn nhu cầu tham gia của chuyên gia lĩnh vực.,Có thể tăng độ phức tạp của hệ thống lên gấp đôi mà không cần bảo trì.,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,54,Hình ảnh “những ngón tay xanh bất đối xứng” trong bản đồ khái niệm tim mạch được hiểu như thế nào?,Tăng tốc độ xử lý thông tin để duy trì tốc độ di chuyển cao hơn.,Kích hoạt lại ngữ cảnh trước đó nhằm duy trì ổn định hành vi.,Bỏ qua các yếu tố môi trường như đèn giao thông hoặc người đi bộ.,Chuyển đổi từ ngữ cảnh lái xe trên cao tốc sang ngữ cảnh lái xe trong thành phố với bộ quy tắc mới. ,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,58,Một trong những rào cản lớn nhất đối với việc tự động thu nhận tri thức của chuyên gia là gì?,Phân rã tri thức thành các quy tắc ngẫu nhiên không ràng buộc.,Chuyển đổi tri thức chiến lược thành hành vi định lượng.,Gộp các ngữ cảnh nhỏ thành một hệ thống mô phỏng duy nhất.,Tổ chức tri thức thành các ngữ cảnh phân cấp có thể tái sử dụng và mở rộng. ,,Đúng
Chapter 7 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,60,Lợi ích quan trọng nhất khi áp dụng mô hình CITKA là gì?,Hoạt động hoàn toàn độc lập mà không cần dữ liệu huấn luyện.,Chỉ tập trung vào việc sao chép bề ngoài hành vi của chuyên gia.,Sở hữu tri thức nền tảng để có thể tiếp thu tri thức mới một cách tích lũy. ,Xóa bỏ mọi tri thức trước đó nhằm tránh sai lệch nhận thức. ◄ Câu hỏi - Nhóm 10 Chuyển tới... Slides - Nhóm 11 ► Hệ thống LMS/LCMS cho Blended learning tại Đại học Kinh tế Quốc dân INFO CỔNG THÔNG TIN ĐÀO TẠO daihocchinhquy.neu.edu.vn myaep.neu.edu.vn vlvh.neu.edu.vn thacsi.neu.edu.vn CONTACT US 207 Giải phóng  Phone : +84 36280280  E-mail : ask-cait@neu.edu.vn Copyright © 2020 - Developed by CAIT@neu. Powered by Moodle Data retention summary Get the mobile app GET SOCIAL    ,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,2,Yếu tố nào giúp hệ thống chia sẻ tri thức trở thành công cụ cạnh tranh chiến lược?,Coi trọng phản hồi cá nhân hơn là chuẩn mực ngành.,Được xây dựng chủ yếu từ dữ liệu thử nghiệm thất bại.,"Chỉ lưu trữ các kết quả thành công, không bao gồm thất bại. ",Tập trung mô tả quá trình ra quyết định thay vì kết quả thực thi.,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,6,Hệ thống chia sẻ tri thức có thể được xem như một “thị trường tri thức” vì lý do nào?,Mức độ bảo mật – yêu cầu xác thực sinh trắc học khi truy cập.,Cấu trúc lưu trữ – sử dụng định dạng phi tuyến thay vì dạng cây phân cấp.,Nguồn gốc nội dung – từ chuẩn mực ngành thay vì trải nghiệm thực tế. ,Quy trình cập nhật – phụ thuộc hoàn toàn vào AI thay vì con người.,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,10,Khái niệm “active presentation of relevant information” mô tả điều gì?,Vì họ thiếu quyền truy cập vào các kho dữ liệu bí mật của công ty.,Vì họ thường không biết toàn bộ nguồn chia sẻ khả dụng trong tổ chức. ,Vì họ không thể tự liên hệ với chuyên gia trong cùng phòng ban.,Vì họ không có khả năng đánh giá độ chính xác của tri thức.,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,14,Cơ sở dữ liệu báo cáo sự cố (Incident Report Database) chủ yếu được dùng trong bối cảnh nào?,"Vì nó giúp hệ thống được triển khai nhanh, tiết kiệm chi phí và thích ứng dễ hơn. ",Vì nó làm tăng độ chính xác của dữ liệu thu thập.,Vì nó cho phép dữ liệu được mã hóa phức tạp hơn.,Vì nó giảm thiểu yêu cầu bảo mật nội dung tri thức.,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,18,"Trước thời đại thông tin, hình thức giao tiếp hai chiều chủ yếu dựa vào phương tiện nào?",Nhân viên không thấy giá trị hoặc động lực để đóng góp tri thức. ,Làm mất cân bằng giữa tri thức ẩn và tri thức hiện.,Tăng nguy cơ rò rỉ dữ liệu ra bên ngoài tổ chức.,Gây xung đột giữa các bộ phận trong việc phân quyền truy cập.,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,22,Ví dụ về việc nhận biết “ai là người đi xe đạp giỏi” được dùng để minh họa điều gì?,Phân tích xu hướng đầu tư của đối thủ cạnh tranh.,Đánh giá kết quả của các chiến dịch marketing trong thời gian thực.,Truyền tải nhanh thông tin về các sự cố đã hoặc sắp xảy ra. ,Gửi báo cáo nội bộ cho các nhà quản lý cấp cao.,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,26,Một tiêu chí quan trọng để một bài học được xem là “lesson learned” là gì?,Chính sách thưởng cố định theo lượt truy cập.,Cơ chế trao đổi công bằng (fair exchange). ,Cơ chế giám sát hành vi chia sẻ.,Mô hình xếp hạng dựa trên điểm tín nhiệm.,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,30,Một đặc điểm then chốt của hệ thống chia sẻ tri thức là khả năng gì?,Xác thực quyền truy cập của người dùng trên mạng nội bộ.,Quản lý quá trình truyền tải gói dữ liệu giữa các máy khách.,Cung cấp chuẩn biểu diễn giúp trình duyệt hiển thị văn bản và đồ họa. ,Mã hóa dữ liệu người dùng trước khi tải lên máy chủ.,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,34,Một hệ thống chia sẻ tri thức hiệu quả cần được tích hợp như thế nào trong tổ chức?,Vì hệ thống không có cơ chế xác nhận quyền tác giả.,Vì lãnh đạo thường không khuyến khích đóng góp tự nguyện.,Vì họ cho rằng tri thức của mình không đủ giá trị để ghi nhận.,Vì họ sợ thông tin bị trích xuất sai ngữ cảnh hoặc gây rủi ro bảo mật. ,,Đúng
